id,created_at,username,message,user_id,unix_time_seconds,position
1235,2024-04-09 10:02:27.777387+00,AufaaKilat,brp strength mu?,4648118945,1712656939,"[-0.080879627820426,-0.384166083401786,-0.0296200513738676]"
1236,2024-04-09 10:02:35.806148+00,aziuuuu2_12,terus jurus satu nya lagi?,5366499924,1712656944,"[-0.0692753440370927,-0.383957378126245,-0.0647416387894402]"
1237,2024-04-09 10:02:48.347717+00,ammarzie_5,aku sudAh 1m,5666305655,1712656955,"[-0.0703665763639937,-0.381460080481972,-0.0532167676198426]"
1238,2024-04-09 10:02:48.347717+00,AufaaKilat,defense,4648118945,1712656963,"[-0.0703599099808399,-0.383604501443259,-0.0380396858148348]"
1239,2024-04-09 10:02:56.367854+00,aziuuuu2_12,jurus satunya?,5366499924,1712656968,"[-0.0742641764085895,-0.383957378126245,-0.0620798842109312]"
1240,2024-04-09 10:03:08.769318+00,ammarzie_5,1m,5666305655,1712656972,"[-0.0692755739123738,-0.383758970808379,-0.0400648519973733]"
1241,2024-04-09 10:03:08.769318+00,angelojamsonagasen,coins?,5032737380,1712656983,"[-0.102725925736492,-0.384491498864307,-0.0299277926785388]"
1242,2024-04-09 10:03:08.769318+00,AufaaKilat,kamu ada mytic dragon?,4648118945,1712656984,"[-0.0717099890579366,-0.383638141438329,-0.042663797180369]"
1243,2024-04-09 10:03:29.188606+00,N8stra,done,5726121059,1712656992,"[-0.0980106521331851,-0.3844969911084,-0.0287744449475981]"
1244,2024-04-09 10:03:29.188606+00,ammarzie_5,iya,5666305655,1712656995,"[-0.074432215239122,-0.383758970808379,-0.0438002916640994]"
1245,2024-04-09 10:03:29.188606+00,angelojamsonagasen,2+?,5032737380,1712657000,"[-0.0985384529623453,-0.384491498864307,-0.0288367437192413]"
1246,2024-04-09 10:03:29.188606+00,AufaaKilat,berapa x nya,4648118945,1712657005,"[-0.0733058119942026,-0.383638141438329,-0.0427672836180288]"
1247,2024-04-09 10:03:36.876943+00,zildan090,mau lawan bos,5675349003,1712657012,"[-0.0697645617370296,-0.381485482110903,-0.0496444323871019]"
1248,2024-04-09 10:03:49.768342+00,N8stra,yes,5726121059,1712657009,"[-0.0980106521331851,-0.3844969911084,-0.0287744449475981]"
